ssc_p,hsc_p,degree_p,etest_p,mba_p,status
63.0,71.4,61.4,68.0,66.88,Placed
71.0,79.0,66.0,94.0,57.55,Placed
52.0,64.0,61.0,55.0,62.93,Not Placed
52.0,65.0,57.0,75.0,59.81,Not Placed
76.0,64.0,72.0,58.0,66.53,Not Placed
52.0,55.0,56.3,59.0,64.74,Not Placed
62.0,72.0,65.0,67.0,56.49,Placed
52.58,54.6,50.2,76.0,65.33,Not Placed
54.0,82.0,63.0,50.0,59.47,Not Placed
73.0,73.0,66.0,70.0,68.07,Placed
84.0,79.0,68.0,84.0,66.69,Placed
69.8,60.8,72.23,55.53,68.81,Placed
76.5,97.7,78.86,97.4,74.01,Placed
51.0,54.0,61.0,60.0,60.64,Not Placed
69.5,70.0,72.0,57.2,54.8,Placed
55.6,51.0,57.5,57.63,62.72,Not Placed
63.0,66.2,65.6,60.0,62.54,Placed
82.0,90.0,83.0,80.0,73.52,Placed
49.0,59.0,65.0,86.0,62.48,Placed
83.0,74.0,66.0,68.92,58.46,Placed
61.0,81.0,66.4,50.89,62.21,Placed
43.0,60.0,65.0,92.66,62.92,Not Placed
87.0,65.0,81.0,88.0,72.78,Placed
66.0,64.0,60.0,60.0,61.9,Not Placed
62.0,65.0,66.0,50.0,56.7,Placed
54.0,77.6,69.2,95.65,66.94,Not Placed
82.0,61.0,62.0,89.0,65.45,Placed
65.0,68.0,69.0,53.7,55.01,Placed
67.0,91.0,58.0,55.0,58.8,Placed
62.0,63.0,64.0,67.0,57.03,Placed
52.0,50.0,61.0,60.0,58.52,Not Placed
87.0,87.0,68.0,95.0,62.9,Placed
52.0,63.0,65.0,86.0,56.09,Not Placed
77.67,64.89,70.67,89.0,60.39,Placed
66.0,76.0,72.0,84.0,58.95,Placed
77.0,61.0,68.0,57.5,61.31,Placed
74.0,63.16,65.0,65.0,69.76,Not Placed
63.0,60.0,57.0,78.0,54.55,Placed
63.0,62.0,65.0,87.5,60.69,Not Placed
79.33,78.33,77.48,86.5,66.28,Placed
52.6,65.58,72.11,57.6,56.66,Placed
84.0,90.9,64.5,86.04,59.42,Placed
55.0,67.0,64.0,60.0,67.28,Not Placed
83.84,89.83,77.2,78.74,76.18,Placed
64.0,80.0,65.0,69.0,57.65,Placed
74.0,70.0,72.0,60.0,57.24,Placed
72.0,63.0,77.5,78.0,54.48,Placed
63.0,67.0,74.0,82.0,60.44,Not Placed
67.0,61.0,72.0,72.0,61.01,Placed
46.0,49.2,79.0,74.28,53.29,Not Placed
79.0,61.0,75.5,70.0,68.2,Placed
63.4,67.2,60.0,58.06,69.28,Not Placed
65.0,77.0,69.0,60.0,61.82,Placed
51.0,44.0,57.0,64.0,51.45,Not Placed
56.0,52.0,52.0,66.0,59.43,Not Placed
45.0,57.0,58.0,56.39,64.95,Not Placed
69.0,62.0,66.0,75.0,67.99,Not Placed
76.76,76.5,67.5,73.35,64.15,Placed
84.2,69.4,65.0,80.0,52.72,Placed
80.6,82.0,77.6,91.0,74.49,Placed
70.0,63.0,66.0,61.28,60.11,Placed
70.0,74.0,65.0,83.0,62.28,Placed
74.0,66.0,58.0,70.0,60.23,Placed
52.0,62.0,54.0,72.0,55.41,Not Placed
74.0,62.0,68.0,74.0,57.99,Placed
66.5,62.5,60.9,93.4,55.03,Placed
54.2,63.0,58.0,79.0,58.44,Not Placed
83.96,53.0,91.0,59.32,69.71,Placed
67.0,53.0,65.0,64.0,58.32,Not Placed
73.0,78.0,65.0,95.46,62.16,Placed
60.23,69.0,66.0,72.0,59.47,Placed
85.0,60.0,73.43,60.0,61.29,Placed
70.5,62.5,61.0,93.91,69.03,Not Placed
84.0,75.0,69.0,62.0,62.36,Placed
58.0,62.0,64.0,53.88,54.97,Placed
60.4,66.6,65.0,71.0,52.71,Placed
59.6,51.0,60.0,75.0,59.08,Not Placed
62.0,58.0,53.0,89.0,60.22,Not Placed
55.68,61.33,56.87,66.0,58.3,Placed
77.0,86.0,56.0,57.0,64.08,Placed
72.0,56.0,69.0,55.6,65.63,Placed
78.5,65.5,67.0,95.0,64.86,Placed
58.0,61.0,61.0,58.0,53.94,Placed
74.0,59.0,73.0,60.0,56.7,Placed
52.0,52.0,55.0,67.0,59.32,Not Placed
62.0,51.0,52.0,68.44,62.77,Not Placed
56.6,64.8,70.2,84.27,67.2,Placed
68.0,76.0,74.0,80.0,63.59,Placed
64.6,83.83,71.72,86.0,59.75,Placed
77.4,60.0,64.74,92.0,63.62,Placed
58.0,60.0,72.0,74.0,53.62,Placed
59.0,64.0,58.0,85.0,55.3,Not Placed
80.0,70.0,72.0,87.0,71.04,Placed
73.0,79.0,72.0,91.34,61.29,Placed
76.0,70.0,76.0,66.0,64.44,Placed
80.92,78.5,67.0,68.71,60.99,Placed
69.0,78.0,72.0,71.0,62.74,Placed
61.08,50.0,54.0,71.0,65.69,Not Placed
69.7,47.0,72.7,79.0,59.24,Not Placed
58.0,40.0,59.0,73.0,58.81,Not Placed
64.0,70.2,61.0,50.0,62.5,Not Placed
82.0,64.0,66.0,67.0,62.14,Placed
77.0,73.0,81.0,89.0,69.7,Placed
74.2,87.6,77.25,75.2,66.06,Placed
64.0,67.0,69.6,55.67,71.49,Placed
73.0,64.0,77.0,65.0,60.98,Placed
54.4,61.12,56.2,67.0,62.65,Not Placed
79.0,76.0,65.6,58.0,55.47,Placed
73.0,97.0,79.0,89.0,70.81,Placed
74.9,57.0,62.0,80.0,60.78,Placed
62.0,65.0,60.0,84.0,64.15,Not Placed
80.0,73.0,75.0,61.0,58.78,Placed
69.0,60.0,65.0,87.55,52.81,Placed
64.0,73.5,73.0,52.0,56.7,Placed
50.0,37.0,52.0,65.0,56.11,Not Placed
75.4,60.5,84.0,98.0,65.25,Placed
61.0,62.0,65.0,62.0,56.81,Placed
58.0,70.0,61.0,54.0,52.21,Not Placed
41.0,42.0,60.0,97.0,53.39,Not Placed
75.2,73.2,68.4,65.0,62.98,Placed
67.0,71.0,64.33,64.0,61.26,Placed
65.0,68.0,64.0,75.0,57.8,Placed
65.0,75.0,69.0,72.0,64.66,Placed
77.0,70.0,59.0,58.0,54.43,Placed
62.0,67.0,58.0,77.0,51.29,Not Placed
63.0,67.0,66.0,68.0,57.69,Placed
80.0,80.0,72.0,63.79,66.04,Placed
67.9,62.0,67.0,58.1,75.71,Not Placed
88.0,72.0,78.0,82.0,71.43,Placed
62.0,62.0,60.0,63.0,52.38,Placed
40.89,45.83,53.0,71.2,65.49,Not Placed
72.0,60.0,69.0,55.5,58.4,Placed
61.8,47.0,54.38,57.0,56.13,Not Placed
78.0,77.0,80.0,60.0,66.72,Placed
81.7,63.0,67.0,86.0,70.2,Placed
77.44,92.0,72.0,94.0,67.13,Placed
56.28,62.83,59.79,60.0,57.29,Not Placed
68.2,72.8,66.6,96.0,70.85,Placed
81.0,68.0,64.0,93.0,62.56,Placed
82.0,64.0,73.0,96.0,71.77,Placed
63.0,62.0,68.0,64.0,62.46,Placed
61.0,82.0,69.0,84.0,58.31,Placed
59.96,42.16,61.26,54.48,65.48,Not Placed
66.5,66.8,69.3,80.4,71.0,Placed
68.0,56.0,68.0,73.0,68.07,Placed
75.0,70.29,71.0,95.0,66.94,Placed
73.96,79.0,67.0,72.15,63.08,Placed
60.8,68.4,64.6,82.66,64.34,Placed
85.0,90.0,82.0,92.0,68.03,Placed
84.86,67.0,78.0,95.5,68.53,Placed
