ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Loan_Status
3522.0,0.0,81.0,180.0,N
3069.0,0.0,71.0,480.0,N
5391.0,0.0,130.0,360.0,Y
6216.0,0.0,133.0,360.0,N
2600.0,1700.0,107.0,360.0,Y
2787.0,1917.0,146.0,360.0,N
3315.0,0.0,96.0,360.0,Y
3500.0,1083.0,135.0,360.0,Y
3237.0,0.0,30.0,360.0,Y
2526.0,1783.0,145.0,360.0,Y
3340.0,1710.0,150.0,360.0,N
2333.0,2417.0,136.0,360.0,Y
3717.0,0.0,120.0,360.0,Y
5821.0,0.0,144.0,360.0,Y
4191.0,0.0,120.0,360.0,Y
1958.0,2436.0,131.0,360.0,Y
2920.0,16.12000084,87.0,360.0,Y
3902.0,1666.0,109.0,360.0,Y
4106.0,0.0,40.0,180.0,Y
2366.0,2531.0,136.0,360.0,Y
2935.0,0.0,98.0,360.0,Y
4166.0,0.0,116.0,360.0,N
4333.0,2451.0,110.0,360.0,N
2192.0,1742.0,45.0,360.0,Y
2958.0,2900.0,131.0,360.0,Y
4600.0,0.0,73.0,180.0,Y
2239.0,2524.0,128.0,360.0,Y
2600.0,1717.0,99.0,300.0,N
2500.0,2118.0,104.0,360.0,Y
3750.0,0.0,113.0,480.0,N
6277.0,0.0,118.0,360.0,N
3103.0,1300.0,80.0,360.0,Y
5819.0,5000.0,120.0,360.0,Y
3593.0,4266.0,132.0,180.0,N
3812.0,0.0,112.0,360.0,Y
4583.0,0.0,112.0,360.0,N
3254.0,0.0,50.0,360.0,Y
3500.0,0.0,81.0,300.0,Y
4583.0,0.0,84.0,360.0,N
2620.0,2223.0,150.0,360.0,Y
2301.0,985.7999877999998,78.0,180.0,Y
3775.0,0.0,110.0,360.0,Y
1299.0,1086.0,17.0,120.0,Y
1993.0,1625.0,113.0,180.0,Y
6000.0,0.0,141.0,360.0,Y
3859.0,3300.0,142.0,180.0,Y
2297.0,1522.0,104.0,360.0,Y
3246.0,1417.0,138.0,360.0,Y
3200.0,700.0,70.0,360.0,Y
3547.0,0.0,80.0,360.0,N
8624.0,0.0,150.0,360.0,Y
2971.0,2791.0,144.0,360.0,Y
4895.0,0.0,102.0,360.0,Y
5829.0,0.0,138.0,360.0,Y
2045.0,1619.0,101.0,360.0,Y
3000.0,3416.0,56.0,180.0,Y
3089.0,1280.0,121.0,360.0,N
2132.0,1591.0,96.0,360.0,Y
2330.0,4486.0,100.0,360.0,Y
3062.0,1987.0,111.0,180.0,N
2500.0,20000.0,103.0,360.0,Y
2253.0,2033.0,110.0,360.0,Y
3833.0,0.0,110.0,360.0,Y
2917.0,536.0,66.0,360.0,N
5800.0,0.0,132.0,360.0,Y
3406.0,4417.0,123.0,360.0,Y
3510.0,0.0,76.0,360.0,N
3948.0,1733.0,149.0,360.0,N
5935.0,0.0,133.0,360.0,Y
2400.0,1863.0,104.0,360.0,N
4009.0,1717.0,116.0,360.0,Y
4166.0,0.0,98.0,360.0,N
2484.0,2302.0,137.0,360.0,Y
3667.0,1459.0,144.0,360.0,Y
2708.0,1167.0,97.0,360.0,Y
5000.0,0.0,132.0,360.0,Y
5488.0,0.0,125.0,360.0,Y
1000.0,3022.0,110.0,360.0,N
6822.0,0.0,141.0,360.0,Y
3273.0,1820.0,81.0,360.0,Y
4200.0,1430.0,129.0,360.0,N
2333.0,1516.0,95.0,360.0,Y
4400.0,0.0,127.0,360.0,N
2014.0,2925.0,113.0,360.0,N
2014.0,1929.0,74.0,360.0,Y
3620.0,0.0,25.0,120.0,Y
3598.0,1287.0,100.0,360.0,N
4160.0,0.0,71.0,360.0,Y
2071.0,754.0,94.0,480.0,Y
2510.0,1983.0,140.0,180.0,N
4226.0,1040.0,110.0,360.0,Y
3399.0,1640.0,111.0,180.0,Y
2378.0,0.0,9.0,360.0,N
3762.0,1666.0,135.0,360.0,Y
3166.0,2064.0,104.0,360.0,N
3083.0,2168.0,126.0,360.0,Y
2167.0,2400.0,115.0,360.0,Y
1853.0,2840.0,114.0,360.0,N
3427.0,0.0,138.0,360.0,N
5703.0,0.0,128.0,360.0,Y
4230.0,0.0,112.0,360.0,N
5316.0,0.0,136.0,360.0,Y
2717.0,0.0,60.0,180.0,Y
3859.0,0.0,96.0,360.0,Y
7167.0,0.0,128.0,360.0,Y
2927.0,2405.0,111.0,360.0,Y
6250.0,1300.0,108.0,360.0,Y
4344.0,736.0,87.0,360.0,N
4606.0,0.0,81.0,360.0,N
3988.0,0.0,50.0,240.0,Y
4608.0,2845.0,140.0,180.0,Y
645.0,3683.0,113.0,480.0,Y
3675.0,242.0,108.0,360.0,Y
4652.0,0.0,110.0,360.0,Y
2876.0,1560.0,90.0,360.0,Y
3167.0,0.0,74.0,360.0,N
2947.0,1664.0,70.0,180.0,N
3052.0,1030.0,100.0,360.0,Y
2237.0,0.0,63.0,480.0,N
3704.0,2000.0,120.0,360.0,Y
4887.0,0.0,133.0,360.0,N
6500.0,0.0,105.0,360.0,N
3358.0,0.0,80.0,36.0,N
1782.0,2232.0,107.0,360.0,Y
1538.0,1425.0,30.0,360.0,Y
3086.0,0.0,120.0,360.0,Y
150.0,1800.0,135.0,360.0,N
3858.0,0.0,76.0,360.0,Y
3400.0,2500.0,123.0,360.0,N
3617.0,0.0,107.0,360.0,Y
3466.0,3428.0,150.0,360.0,Y
2178.0,0.0,66.0,300.0,N
5468.0,1032.0,26.0,360.0,Y
3366.0,2200.0,135.0,360.0,N
3814.0,1483.0,124.0,300.0,Y
1875.0,1875.0,97.0,360.0,Y
1625.0,1803.0,96.0,360.0,Y
2309.0,1255.0,125.0,360.0,N
3029.0,0.0,99.0,360.0,Y
3867.0,0.0,62.0,360.0,N
4616.0,0.0,134.0,360.0,N
3173.0,3021.0,137.0,360.0,Y
2425.0,2340.0,143.0,360.0,Y
3316.0,3500.0,88.0,360.0,Y
4288.0,3263.0,133.0,180.0,Y
3917.0,0.0,124.0,360.0,Y
5500.0,0.0,105.0,360.0,N
6406.0,0.0,150.0,360.0,N
4188.0,0.0,115.0,180.0,Y
2600.0,2500.0,90.0,360.0,Y
4860.0,830.0,125.0,360.0,Y
3155.0,1779.0,140.0,360.0,Y
2507.0,0.0,56.0,360.0,Y
2718.0,0.0,70.0,360.0,Y
2400.0,2167.0,115.0,360.0,Y
4692.0,0.0,106.0,360.0,N
5677.0,1424.0,100.0,360.0,Y
3750.0,0.0,116.0,360.0,Y
2583.0,2358.0,120.0,360.0,Y
9703.0,0.0,112.0,360.0,Y
1863.0,1041.0,98.0,360.0,Y
1025.0,2773.0,112.0,360.0,Y
4547.0,0.0,115.0,360.0,Y
1759.0,3541.0,131.0,360.0,Y
2213.0,0.0,66.0,360.0,Y
1800.0,2934.0,93.0,360.0,N
4301.0,0.0,118.0,360.0,Y
2137.0,8980.0,137.0,360.0,Y
2799.0,2253.0,122.0,360.0,Y
3229.0,2739.0,110.0,360.0,Y
2895.0,0.0,95.0,360.0,Y
4281.0,0.0,100.0,360.0,Y
6250.0,0.0,128.0,360.0,Y
2483.0,2466.0,90.0,180.0,Y
4691.0,0.0,100.0,360.0,Y
3158.0,3053.0,89.0,360.0,Y
3326.0,913.0,105.0,84.0,Y
4566.0,0.0,100.0,360.0,N
3497.0,1964.0,116.0,360.0,Y
3748.0,1668.0,110.0,360.0,Y
4885.0,0.0,48.0,360.0,Y
3466.0,1210.0,130.0,360.0,Y
4124.0,0.0,115.0,360.0,Y
3600.0,0.0,80.0,360.0,N
4166.0,0.0,44.0,360.0,Y
1800.0,1213.0,47.0,360.0,Y
2957.0,0.0,81.0,360.0,Y
3588.0,0.0,110.0,360.0,N
3400.0,0.0,95.0,360.0,N
2889.0,0.0,45.0,180.0,N
2333.0,1451.0,102.0,480.0,N
3846.0,0.0,111.0,360.0,Y
2833.0,1857.0,126.0,360.0,Y
3927.0,800.0,112.0,360.0,Y
2479.0,0.0,59.0,360.0,Y
2755.0,0.0,65.0,300.0,N
3159.0,0.0,100.0,360.0,Y
7100.0,0.0,125.0,60.0,Y
2679.0,1302.0,94.0,360.0,Y
4817.0,923.0,120.0,180.0,Y
2995.0,0.0,60.0,360.0,Y
7740.0,0.0,128.0,180.0,Y
1809.0,1868.0,90.0,360.0,Y
2600.0,1911.0,116.0,360.0,N
2726.0,0.0,106.0,360.0,N
1442.0,0.0,35.0,360.0,N
2500.0,0.0,96.0,480.0,N
3900.0,0.0,90.0,360.0,Y
3625.0,0.0,108.0,360.0,Y
4000.0,2500.0,140.0,360.0,Y
2500.0,0.0,55.0,360.0,Y
7085.0,0.0,84.0,360.0,Y
3283.0,2035.0,148.0,360.0,Y
2583.0,2167.0,104.0,360.0,Y
7142.0,0.0,138.0,360.0,Y
