Age,Work_Experience,Family_Size,Segmentation
52.0,4.0,1.0,B
43.0,1.0,4.0,D
38.0,9.0,4.0,C
47.0,0.0,5.0,A
31.0,4.0,2.0,B
29.0,8.0,5.0,D
53.0,1.0,5.0,B
41.0,1.0,4.0,C
48.0,1.0,3.0,C
30.0,1.0,2.0,A
42.0,0.0,2.0,D
41.0,5.0,4.0,A
49.0,5.0,3.0,D
18.0,0.0,3.0,D
42.0,8.0,3.0,C
69.0,1.0,1.0,B
48.0,1.0,4.0,B
51.0,0.0,1.0,C
38.0,1.0,4.0,C
57.0,1.0,3.0,B
48.0,2.0,2.0,C
41.0,1.0,2.0,D
86.0,0.0,1.0,C
46.0,0.0,2.0,B
78.0,1.0,2.0,B
22.0,1.0,4.0,D
76.0,1.0,1.0,B
27.0,1.0,2.0,A
86.0,0.0,2.0,A
38.0,8.0,1.0,A
62.0,1.0,4.0,C
53.0,4.0,4.0,C
38.0,1.0,1.0,C
41.0,3.0,2.0,A
36.0,1.0,2.0,A
50.0,1.0,4.0,D
49.0,1.0,2.0,A
36.0,13.0,1.0,A
63.0,0.0,2.0,A
27.0,8.0,3.0,D
50.0,9.0,1.0,A
46.0,1.0,2.0,C
33.0,0.0,1.0,A
49.0,0.0,1.0,D
55.0,0.0,4.0,C
42.0,0.0,5.0,A
36.0,6.0,4.0,B
31.0,2.0,2.0,D
21.0,1.0,4.0,D
25.0,1.0,3.0,A
60.0,0.0,6.0,A
51.0,1.0,2.0,C
71.0,1.0,2.0,C
31.0,1.0,2.0,B
77.0,1.0,2.0,C
35.0,9.0,2.0,D
18.0,0.0,3.0,B
81.0,0.0,1.0,A
55.0,1.0,1.0,B
36.0,0.0,1.0,B
20.0,0.0,4.0,A
21.0,1.0,3.0,A
42.0,3.0,4.0,A
42.0,1.0,1.0,D
35.0,5.0,2.0,D
36.0,4.0,2.0,B
83.0,0.0,2.0,D
22.0,0.0,5.0,C
19.0,1.0,4.0,A
31.0,1.0,5.0,A
19.0,0.0,5.0,A
55.0,6.0,1.0,B
36.0,5.0,1.0,A
33.0,8.0,4.0,C
58.0,0.0,4.0,A
50.0,0.0,2.0,B
46.0,1.0,5.0,D
67.0,0.0,5.0,A
18.0,0.0,4.0,D
88.0,4.0,2.0,A
43.0,14.0,1.0,D
67.0,0.0,3.0,B
68.0,1.0,1.0,C
71.0,8.0,2.0,D
46.0,0.0,6.0,D
51.0,1.0,2.0,B
27.0,1.0,6.0,D
19.0,7.0,3.0,C
87.0,0.0,2.0,C
72.0,1.0,6.0,D
74.0,0.0,2.0,D
57.0,0.0,6.0,C
31.0,1.0,5.0,A
51.0,1.0,1.0,B
25.0,1.0,4.0,A
58.0,0.0,2.0,B
36.0,0.0,1.0,A
65.0,0.0,2.0,B
25.0,1.0,3.0,D
19.0,0.0,4.0,B
27.0,0.0,5.0,B
71.0,2.0,1.0,B
60.0,4.0,4.0,A
46.0,1.0,3.0,B
30.0,9.0,4.0,A
33.0,7.0,7.0,A
55.0,4.0,2.0,A
19.0,5.0,4.0,A
86.0,0.0,1.0,D
52.0,1.0,3.0,B
21.0,0.0,3.0,D
20.0,1.0,5.0,D
31.0,1.0,5.0,A
33.0,0.0,4.0,A
30.0,6.0,3.0,A
50.0,0.0,2.0,A
32.0,9.0,5.0,D
48.0,0.0,3.0,B
42.0,3.0,2.0,A
59.0,0.0,4.0,B
22.0,0.0,6.0,D
48.0,0.0,1.0,A
21.0,1.0,8.0,D
29.0,9.0,2.0,A
26.0,1.0,1.0,D
73.0,1.0,2.0,C
28.0,8.0,2.0,D
46.0,8.0,2.0,C
62.0,4.0,1.0,A
50.0,1.0,4.0,C
43.0,3.0,1.0,A
30.0,0.0,7.0,B
37.0,8.0,1.0,A
75.0,0.0,2.0,C
48.0,1.0,3.0,B
47.0,1.0,5.0,C
52.0,1.0,3.0,C
26.0,8.0,3.0,D
40.0,3.0,1.0,A
58.0,1.0,1.0,A
79.0,1.0,2.0,A
57.0,0.0,5.0,A
38.0,4.0,1.0,A
49.0,0.0,2.0,C
30.0,1.0,9.0,C
22.0,1.0,4.0,D
33.0,5.0,4.0,C
35.0,9.0,4.0,A
19.0,1.0,3.0,D
42.0,8.0,2.0,A
47.0,1.0,5.0,C
37.0,8.0,4.0,A
52.0,0.0,3.0,A
50.0,1.0,4.0,B
39.0,0.0,2.0,A
30.0,14.0,3.0,A
38.0,9.0,3.0,D
47.0,8.0,4.0,D
88.0,1.0,2.0,C
50.0,1.0,5.0,D
46.0,3.0,3.0,A
67.0,0.0,2.0,B
52.0,0.0,2.0,B
52.0,1.0,3.0,C
45.0,1.0,1.0,A
26.0,0.0,2.0,D
61.0,0.0,1.0,A
46.0,1.0,4.0,D
30.0,0.0,4.0,D
58.0,1.0,4.0,C
28.0,1.0,5.0,C
25.0,0.0,3.0,A
35.0,0.0,2.0,D
26.0,1.0,4.0,D
32.0,0.0,2.0,C
49.0,0.0,4.0,C
58.0,1.0,4.0,C
37.0,8.0,1.0,A
43.0,0.0,4.0,D
47.0,1.0,4.0,C
49.0,0.0,1.0,A
23.0,4.0,2.0,D
27.0,6.0,1.0,D
39.0,12.0,1.0,C
61.0,1.0,2.0,D
60.0,0.0,4.0,A
22.0,0.0,4.0,D
32.0,9.0,4.0,A
39.0,5.0,2.0,A
48.0,7.0,3.0,D
36.0,4.0,2.0,D
23.0,2.0,5.0,D
30.0,1.0,2.0,D
30.0,1.0,1.0,D
73.0,1.0,2.0,A
19.0,0.0,4.0,B
25.0,1.0,2.0,C
55.0,8.0,1.0,B
29.0,1.0,4.0,A
58.0,9.0,4.0,C
45.0,1.0,1.0,A
38.0,1.0,1.0,C
32.0,9.0,2.0,A
32.0,7.0,2.0,A
51.0,6.0,2.0,B
29.0,0.0,3.0,A
63.0,1.0,1.0,D
30.0,8.0,2.0,C
35.0,1.0,2.0,A
60.0,4.0,2.0,A
38.0,3.0,5.0,A
38.0,11.0,3.0,A
68.0,0.0,1.0,A
60.0,1.0,2.0,A
28.0,1.0,3.0,D
43.0,0.0,5.0,A
49.0,1.0,4.0,A
79.0,1.0,2.0,C
22.0,0.0,3.0,D
42.0,8.0,4.0,C
25.0,8.0,1.0,D
42.0,8.0,1.0,C
43.0,0.0,4.0,A
59.0,1.0,3.0,A
41.0,1.0,2.0,A
42.0,2.0,3.0,C
27.0,8.0,2.0,D
46.0,8.0,2.0,D
31.0,1.0,2.0,B
25.0,0.0,9.0,B
50.0,0.0,2.0,C
33.0,13.0,1.0,A
28.0,0.0,5.0,A
26.0,7.0,4.0,D
50.0,9.0,2.0,C
18.0,7.0,4.0,B
47.0,1.0,4.0,C
25.0,6.0,3.0,A
45.0,0.0,3.0,C
36.0,0.0,4.0,D
19.0,1.0,3.0,A
28.0,0.0,2.0,D
37.0,0.0,6.0,A
27.0,0.0,2.0,A
41.0,8.0,2.0,A
40.0,0.0,2.0,A
35.0,8.0,1.0,B
30.0,1.0,5.0,D
83.0,0.0,2.0,A
75.0,1.0,3.0,D
48.0,1.0,2.0,D
47.0,0.0,5.0,C
38.0,9.0,1.0,A
47.0,9.0,2.0,A
23.0,6.0,2.0,B
47.0,0.0,2.0,C
56.0,8.0,2.0,A
55.0,0.0,3.0,B
48.0,0.0,4.0,C
31.0,5.0,1.0,A
71.0,0.0,1.0,A
42.0,0.0,6.0,B
38.0,12.0,7.0,A
36.0,9.0,1.0,D
22.0,6.0,3.0,C
30.0,0.0,5.0,D
20.0,1.0,3.0,B
40.0,0.0,2.0,A
47.0,0.0,3.0,A
43.0,0.0,2.0,B
26.0,1.0,2.0,D
56.0,0.0,2.0,B
26.0,0.0,4.0,D
52.0,1.0,1.0,A
21.0,0.0,2.0,B
41.0,0.0,2.0,C
68.0,1.0,4.0,A
86.0,0.0,2.0,C
42.0,0.0,3.0,C
18.0,1.0,4.0,A
32.0,6.0,5.0,D
25.0,0.0,1.0,A
41.0,1.0,5.0,C
46.0,3.0,3.0,D
36.0,3.0,4.0,D
25.0,8.0,1.0,A
31.0,8.0,2.0,D
43.0,0.0,4.0,A
37.0,8.0,3.0,B
51.0,1.0,4.0,D
48.0,8.0,4.0,C
22.0,0.0,5.0,D
30.0,0.0,4.0,D
66.0,1.0,2.0,C
45.0,1.0,1.0,D
26.0,0.0,4.0,A
35.0,1.0,2.0,A
74.0,1.0,1.0,B
19.0,8.0,5.0,D
55.0,1.0,5.0,A
21.0,1.0,3.0,D
50.0,4.0,1.0,B
23.0,0.0,6.0,D
88.0,1.0,2.0,A
46.0,2.0,1.0,B
33.0,7.0,6.0,C
48.0,1.0,1.0,B
18.0,1.0,5.0,A
88.0,1.0,4.0,C
40.0,8.0,2.0,A
39.0,1.0,4.0,B
52.0,1.0,5.0,D
53.0,1.0,2.0,D
42.0,6.0,3.0,A
56.0,0.0,2.0,C
42.0,5.0,3.0,C
42.0,1.0,2.0,D
53.0,11.0,2.0,D
43.0,7.0,1.0,A
46.0,1.0,2.0,D
53.0,1.0,2.0,D
78.0,0.0,2.0,D
51.0,1.0,3.0,B
35.0,0.0,2.0,B
26.0,0.0,4.0,D
52.0,0.0,1.0,C
28.0,1.0,4.0,B
40.0,3.0,3.0,B
38.0,0.0,3.0,C
39.0,0.0,2.0,B
41.0,0.0,1.0,A
38.0,10.0,1.0,A
39.0,1.0,1.0,D
36.0,4.0,1.0,A
39.0,1.0,3.0,A
67.0,5.0,4.0,A
40.0,3.0,2.0,C
42.0,9.0,3.0,A
33.0,1.0,2.0,C
21.0,0.0,2.0,D
25.0,1.0,1.0,D
30.0,10.0,8.0,D
26.0,1.0,3.0,A
72.0,1.0,3.0,A
36.0,3.0,2.0,C
25.0,3.0,2.0,D
41.0,3.0,2.0,A
86.0,0.0,1.0,D
30.0,0.0,4.0,A
42.0,1.0,4.0,A
28.0,6.0,3.0,A
28.0,1.0,2.0,B
37.0,1.0,2.0,D
32.0,7.0,1.0,D
27.0,0.0,1.0,A
35.0,1.0,4.0,A
19.0,0.0,5.0,A
88.0,1.0,2.0,D
21.0,0.0,4.0,D
53.0,0.0,3.0,A
51.0,0.0,4.0,C
56.0,1.0,2.0,A
50.0,0.0,4.0,B
43.0,7.0,1.0,B
42.0,13.0,2.0,A
62.0,0.0,2.0,A
32.0,1.0,1.0,D
48.0,5.0,5.0,A
82.0,1.0,2.0,A
45.0,4.0,2.0,C
22.0,3.0,4.0,D
57.0,0.0,3.0,D
30.0,0.0,1.0,D
56.0,0.0,4.0,C
41.0,9.0,1.0,B
19.0,2.0,4.0,B
49.0,1.0,5.0,A
25.0,0.0,2.0,B
30.0,1.0,3.0,A
84.0,1.0,2.0,D
40.0,1.0,2.0,A
38.0,10.0,1.0,B
42.0,0.0,3.0,A
48.0,1.0,3.0,B
47.0,1.0,4.0,B
31.0,1.0,5.0,D
31.0,1.0,5.0,D
37.0,0.0,2.0,B
30.0,1.0,3.0,A
43.0,1.0,3.0,D
39.0,0.0,2.0,B
39.0,5.0,1.0,A
58.0,1.0,4.0,C
26.0,0.0,3.0,D
45.0,0.0,3.0,D
31.0,0.0,5.0,D
50.0,1.0,1.0,B
42.0,1.0,1.0,D
65.0,1.0,2.0,C
22.0,2.0,9.0,D
19.0,0.0,4.0,D
48.0,1.0,2.0,C
36.0,1.0,1.0,A
66.0,0.0,2.0,D
43.0,0.0,5.0,C
20.0,0.0,5.0,D
89.0,4.0,1.0,A
38.0,9.0,3.0,A
20.0,4.0,7.0,D
37.0,7.0,1.0,C
53.0,8.0,2.0,D
41.0,1.0,1.0,B
62.0,1.0,2.0,B
23.0,0.0,3.0,D
60.0,3.0,3.0,C
27.0,8.0,1.0,B
36.0,5.0,1.0,A
45.0,1.0,2.0,D
70.0,3.0,1.0,D
28.0,0.0,5.0,A
45.0,1.0,2.0,D
30.0,0.0,2.0,A
23.0,0.0,3.0,A
49.0,1.0,2.0,B
76.0,1.0,2.0,A
19.0,6.0,4.0,A
29.0,9.0,2.0,C
38.0,8.0,1.0,C
20.0,0.0,4.0,D
50.0,1.0,1.0,A
59.0,0.0,1.0,A
78.0,1.0,3.0,B
35.0,1.0,2.0,D
21.0,1.0,4.0,D
40.0,8.0,2.0,B
36.0,0.0,3.0,A
70.0,1.0,2.0,C
59.0,1.0,1.0,D
41.0,1.0,3.0,C
53.0,2.0,4.0,A
74.0,1.0,2.0,B
82.0,1.0,1.0,D
30.0,1.0,6.0,B
36.0,7.0,2.0,A
33.0,1.0,3.0,A
26.0,6.0,2.0,D
38.0,2.0,4.0,B
41.0,9.0,3.0,B
47.0,7.0,2.0,A
53.0,1.0,1.0,D
45.0,0.0,3.0,A
41.0,5.0,3.0,D
22.0,1.0,5.0,D
21.0,1.0,3.0,D
40.0,1.0,1.0,C
41.0,1.0,3.0,D
86.0,1.0,1.0,B
23.0,0.0,4.0,D
72.0,8.0,2.0,A
45.0,1.0,2.0,A
45.0,0.0,1.0,B
52.0,9.0,1.0,B
42.0,0.0,2.0,A
65.0,1.0,1.0,D
19.0,0.0,4.0,D
40.0,0.0,1.0,A
22.0,9.0,4.0,D
72.0,1.0,2.0,D
33.0,1.0,4.0,A
41.0,9.0,1.0,A
43.0,0.0,4.0,A
23.0,4.0,4.0,A
51.0,3.0,1.0,B
38.0,13.0,1.0,A
52.0,0.0,3.0,A
71.0,1.0,3.0,D
42.0,0.0,1.0,B
57.0,8.0,3.0,D
48.0,1.0,4.0,C
35.0,7.0,2.0,A
19.0,1.0,3.0,A
73.0,1.0,2.0,B
39.0,2.0,1.0,D
19.0,6.0,3.0,D
28.0,9.0,1.0,B
57.0,0.0,2.0,B
23.0,1.0,3.0,D
84.0,0.0,2.0,A
28.0,0.0,3.0,C
53.0,1.0,2.0,C
47.0,0.0,1.0,C
32.0,13.0,4.0,A
84.0,5.0,1.0,D
66.0,0.0,2.0,C
35.0,1.0,1.0,A
46.0,1.0,3.0,A
23.0,1.0,5.0,D
28.0,7.0,3.0,A
31.0,1.0,4.0,A
37.0,0.0,3.0,A
27.0,1.0,4.0,D
31.0,0.0,1.0,D
43.0,1.0,1.0,C
25.0,8.0,3.0,D
38.0,4.0,1.0,B
30.0,12.0,2.0,D
46.0,4.0,4.0,C
51.0,1.0,4.0,D
50.0,0.0,5.0,A
56.0,0.0,2.0,B
28.0,0.0,5.0,D
48.0,1.0,6.0,A
46.0,0.0,2.0,A
81.0,1.0,1.0,A
67.0,0.0,3.0,A
35.0,1.0,2.0,A
45.0,2.0,2.0,A
53.0,0.0,1.0,A
49.0,1.0,1.0,D
26.0,9.0,5.0,D
69.0,0.0,3.0,C
50.0,1.0,1.0,C
30.0,5.0,2.0,A
30.0,3.0,4.0,A
73.0,0.0,2.0,A
80.0,1.0,2.0,D
62.0,0.0,2.0,A
51.0,1.0,6.0,A
28.0,9.0,3.0,D
43.0,9.0,2.0,C
77.0,1.0,2.0,D
70.0,0.0,1.0,B
40.0,9.0,1.0,D
30.0,1.0,1.0,A
40.0,1.0,2.0,A
40.0,0.0,1.0,A
69.0,1.0,2.0,B
26.0,1.0,3.0,D
36.0,5.0,1.0,D
38.0,1.0,3.0,C
65.0,1.0,2.0,B
52.0,1.0,2.0,B
29.0,0.0,4.0,D
25.0,5.0,1.0,D
33.0,0.0,2.0,C
47.0,1.0,2.0,B
43.0,9.0,2.0,C
32.0,7.0,1.0,D
20.0,1.0,2.0,D
21.0,8.0,5.0,A
50.0,0.0,4.0,C
23.0,0.0,5.0,A
46.0,0.0,3.0,B
47.0,1.0,4.0,C
67.0,1.0,2.0,D
31.0,1.0,2.0,A
39.0,1.0,2.0,A
43.0,0.0,2.0,A
61.0,1.0,3.0,B
31.0,1.0,6.0,A
42.0,1.0,1.0,C
37.0,7.0,3.0,D
31.0,0.0,3.0,C
67.0,0.0,2.0,A
29.0,1.0,1.0,D
39.0,1.0,9.0,A
22.0,1.0,4.0,B
41.0,0.0,4.0,B
45.0,5.0,4.0,A
31.0,14.0,2.0,D
58.0,1.0,5.0,A
46.0,0.0,3.0,C
74.0,0.0,2.0,B
27.0,5.0,3.0,D
61.0,0.0,3.0,D
37.0,5.0,2.0,D
32.0,1.0,4.0,A
89.0,1.0,2.0,C
32.0,0.0,4.0,B
20.0,3.0,4.0,D
51.0,0.0,5.0,D
22.0,0.0,6.0,D
40.0,0.0,2.0,D
89.0,1.0,1.0,A
20.0,0.0,5.0,D
63.0,1.0,1.0,B
26.0,2.0,4.0,A
42.0,0.0,1.0,C
30.0,8.0,2.0,D
43.0,6.0,2.0,B
30.0,0.0,3.0,D
74.0,1.0,2.0,C
56.0,0.0,1.0,A
36.0,0.0,5.0,A
53.0,0.0,1.0,B
53.0,12.0,2.0,C
27.0,1.0,5.0,B
26.0,1.0,1.0,B
39.0,1.0,1.0,D
62.0,1.0,1.0,D
22.0,4.0,4.0,B
61.0,1.0,1.0,D
19.0,0.0,3.0,D
36.0,8.0,2.0,C
33.0,1.0,5.0,A
33.0,4.0,3.0,D
30.0,0.0,3.0,D
22.0,1.0,6.0,D
35.0,2.0,4.0,A
37.0,0.0,1.0,D
85.0,0.0,1.0,A
25.0,1.0,3.0,B
20.0,3.0,4.0,D
25.0,7.0,4.0,B
20.0,0.0,4.0,C
45.0,4.0,3.0,A
53.0,1.0,5.0,D
53.0,0.0,1.0,D
43.0,4.0,2.0,D
18.0,0.0,4.0,B
49.0,12.0,1.0,C
45.0,9.0,2.0,A
31.0,0.0,4.0,D
50.0,1.0,4.0,D
49.0,1.0,3.0,D
42.0,6.0,2.0,B
27.0,0.0,5.0,D
70.0,1.0,2.0,D
41.0,4.0,3.0,D
37.0,11.0,1.0,A
26.0,14.0,3.0,D
73.0,0.0,2.0,B
56.0,3.0,3.0,C
38.0,7.0,2.0,A
39.0,0.0,2.0,A
47.0,0.0,4.0,C
36.0,0.0,5.0,A
66.0,6.0,3.0,B
47.0,1.0,4.0,C
43.0,9.0,2.0,B
40.0,5.0,5.0,A
48.0,1.0,5.0,C
43.0,4.0,4.0,A
30.0,0.0,6.0,A
46.0,1.0,1.0,C
43.0,14.0,1.0,B
45.0,0.0,2.0,A
19.0,1.0,3.0,D
77.0,1.0,1.0,D
56.0,0.0,1.0,B
83.0,1.0,2.0,A
27.0,0.0,7.0,A
28.0,1.0,5.0,D
51.0,2.0,2.0,C
27.0,0.0,5.0,A
33.0,4.0,8.0,D
35.0,12.0,1.0,C
36.0,4.0,1.0,C
25.0,1.0,6.0,D
33.0,9.0,1.0,A
71.0,9.0,3.0,B
40.0,1.0,1.0,C
23.0,0.0,4.0,C
25.0,1.0,4.0,B
32.0,3.0,7.0,A
31.0,8.0,1.0,B
37.0,0.0,3.0,C
52.0,0.0,1.0,B
22.0,8.0,5.0,D
42.0,1.0,2.0,C
73.0,1.0,2.0,C
41.0,1.0,1.0,D
39.0,9.0,2.0,A
36.0,4.0,2.0,B
26.0,11.0,2.0,A
36.0,8.0,2.0,D
28.0,9.0,6.0,D
22.0,0.0,3.0,D
30.0,8.0,3.0,A
37.0,9.0,1.0,A
55.0,0.0,8.0,B
25.0,2.0,3.0,B
42.0,5.0,2.0,A
57.0,5.0,2.0,C
37.0,0.0,2.0,B
43.0,2.0,3.0,A
43.0,2.0,3.0,D
59.0,1.0,2.0,C
59.0,0.0,1.0,D
42.0,0.0,1.0,A
63.0,8.0,1.0,B
60.0,1.0,2.0,B
20.0,9.0,3.0,A
50.0,0.0,3.0,D
86.0,1.0,2.0,D
42.0,6.0,4.0,D
77.0,0.0,2.0,C
42.0,9.0,1.0,C
28.0,0.0,6.0,A
42.0,8.0,1.0,B
25.0,12.0,2.0,B
43.0,1.0,2.0,B
29.0,3.0,6.0,D
27.0,6.0,5.0,C
33.0,1.0,3.0,A
84.0,1.0,2.0,D
49.0,0.0,4.0,B
69.0,1.0,3.0,A
68.0,0.0,2.0,B
27.0,8.0,4.0,D
46.0,0.0,1.0,A
29.0,1.0,4.0,A
19.0,5.0,5.0,A
33.0,9.0,1.0,D
32.0,0.0,1.0,B
59.0,9.0,3.0,B
18.0,3.0,3.0,C
46.0,4.0,4.0,B
60.0,6.0,9.0,B
21.0,1.0,5.0,D
66.0,1.0,1.0,D
42.0,0.0,4.0,A
69.0,0.0,2.0,D
29.0,1.0,2.0,B
43.0,0.0,1.0,C
37.0,9.0,4.0,D
58.0,0.0,3.0,A
18.0,0.0,4.0,D
22.0,0.0,3.0,D
53.0,2.0,2.0,D
26.0,0.0,3.0,D
37.0,0.0,3.0,C
69.0,0.0,2.0,D
58.0,0.0,2.0,C
27.0,0.0,1.0,D
32.0,0.0,4.0,D
51.0,3.0,6.0,C
51.0,0.0,4.0,A
32.0,0.0,3.0,A
37.0,1.0,1.0,B
27.0,10.0,2.0,A
38.0,6.0,4.0,A
42.0,1.0,3.0,D
38.0,1.0,3.0,D
31.0,0.0,4.0,B
57.0,1.0,3.0,A
42.0,2.0,2.0,A
40.0,1.0,4.0,A
19.0,7.0,6.0,D
66.0,0.0,2.0,D
65.0,1.0,3.0,A
